track_name,artists,album,duration_ms,spotify_url,spotify_preview,search_query
Point Of Warm - Original Mix,iO (Mulen),Point Of Warm,450952,https://open.spotify.com/track/1SSDGIvUz8FGX4tomJIE7M,,iO (Mulen) Point Of Warm - Original Mix
Skin of Tragedy,Decius,Decius Trax EP VI,303043,https://open.spotify.com/track/6MbMePw5mmeWxkGYFgGFPJ,,Decius Skin of Tragedy
That Track By Kat - Fuckthegovernment Side Dub,Kat Williams Fuckthegovernment,That Track By Kat,435049,https://open.spotify.com/track/4GcnbNnKUUva7w3LshMDfd,,Kat Williams Fuckthegovernment That Track By Kat - Fuckthegovernment Side Dub
Cand am venit,Floog,CAND AM VENIT,629761,https://open.spotify.com/track/3YMf9F14zOPk1eImfPin8o,,Floog Cand am venit
Serendipity,Martinesque,Paradigm,612594,https://open.spotify.com/track/24pvqYUXKIZmiUxONAyLUW,,Martinesque Serendipity
Width,Mandar,Width,465504,https://open.spotify.com/track/3n6olhHawwIst7oHHnNAK2,,Mandar Width
The Demonstration,IULY.B,Houseworks Part One,432000,https://open.spotify.com/track/0aZSPeE5hRdCD2mj0iMTuf,,IULY.B The Demonstration
Wayfarer,IULY.B,Houseworks Part One,440975,https://open.spotify.com/track/6UTy81hZBTy97fJ7nR83NG,,IULY.B Wayfarer
Back Alley,Böhm,Connected EP,300718,https://open.spotify.com/track/3MlJ0IdKj8lG5qKKkoBOr1,,Böhm Back Alley
Et Annet Sted - Axel Boman Remix,Hubbabubbaklubb Axel Boman,Drømmen Drømmerne Drømmer (Remixed),390706,https://open.spotify.com/track/7AAYmtwfGsBG8tCYldUFqa,,Hubbabubbaklubb Axel Boman Et Annet Sted - Axel Boman Remix
Kord - Diego Krause Remix,Janeret Diego Krause,Space Conquest,434646,https://open.spotify.com/track/6KFyLrk41C7FOdilxARCJX,,Janeret Diego Krause Kord - Diego Krause Remix
Formation,Ki.Mi. Dan Goul,Construction I,460800,https://open.spotify.com/track/2cbdbJtNI2k2nHXzg6uaxp,,Ki.Mi. Dan Goul Formation
Lu,Micronica,Top Secret,450602,https://open.spotify.com/track/3AdjaH72Xz0SZvuvGCUPGp,,Micronica Lu
Berlin Bound - Michael James Remix,Phreaks of Visions Michael James,Evolution,457324,https://open.spotify.com/track/2PrGk1pYygqmIBMam2Zc7J,,Phreaks of Visions Michael James Berlin Bound - Michael James Remix
Abotha - Mihai Popoviciu Remix,Benno Blome Mihai Popoviciu,Abotha,409259,https://open.spotify.com/track/2oX16KBDaFqWJN69cr64OD,,Benno Blome Mihai Popoviciu Abotha - Mihai Popoviciu Remix
Steinbruch - Reference Remix,Marko Furstenberg Reference,Gesamtlaufzeit Remixes,374179,https://open.spotify.com/track/5qx3ceuhCVaJX8YqhmB1WI,,Marko Furstenberg Reference Steinbruch - Reference Remix
Rain to Stop - Original Mix,Ander,Best Of: 100 Tracks of Last 100 Releases,425718,https://open.spotify.com/track/7mecpkauU4Ij6iTco66s0u,,Ander Rain to Stop - Original Mix
Senju - Original Mix,Arthus,Best Of: 100 Tracks of Last 100 Releases,399367,https://open.spotify.com/track/2K2bq7JSYIT84C9ft1c1ZT,,Arthus Senju - Original Mix
Bajareque - Original Mix,Avidel,Best Of: 100 Tracks of Last 100 Releases,553000,https://open.spotify.com/track/4Gdb7kYBSglH1DVlfPYwA0,,Avidel Bajareque - Original Mix
Man Is Man & Love Is Everything - Original Mix,Chris T,Best Of: 100 Tracks of Last 100 Releases,724875,https://open.spotify.com/track/74vmRKe2bCmSLFR6GMj4qd,,Chris T Man Is Man & Love Is Everything - Original Mix
Md,Micronica,Top Secret,471457,https://open.spotify.com/track/1pv8qLntCowkgWgyNYqOap,,Micronica Md
Lynx 01,Priku Jorge Savoretti,Lynx EP,495704,https://open.spotify.com/track/0mibbpwNz81jtOWpcjCud0,,Priku Jorge Savoretti Lynx 01
What Have You Done,IULY.B,Hyperspace,435847,https://open.spotify.com/track/6UWHKXZ36e6GdX1o4fctPn,,IULY.B What Have You Done
Driesse 004,Shakèd,Fragments Of Reality Vol.7,427000,https://open.spotify.com/track/2X2ivwj3qNCRV0vWrK5E28,,Shakèd Driesse 004
Dark Safari,IULY.B,Dimensions,453731,https://open.spotify.com/track/3BGudvqzHrWsX2OxnUaEV3,,IULY.B Dark Safari
Poisoned Words (Original Mix),Mandar,String Theory,394130,https://open.spotify.com/track/6Socqm9MkrJBMeodarP5Xb,,Mandar Poisoned Words (Original Mix)
Acid Oz - Original Mix,Dorothy's Dream,Best Of: 100 Tracks of Last 100 Releases,483500,https://open.spotify.com/track/0lJsEGA2UL6CG2fGLb1dbV,,Dorothy's Dream Acid Oz - Original Mix
Speranta,Ada Kaleh Traumer,"""Assembling Pieces"" LP : Digital Bonuses",456774,https://open.spotify.com/track/5hUG4khCMWpNXKOH5kTMgP,,Ada Kaleh Traumer Speranta
Blubay,Mandar,Blubay / Canary,408853,https://open.spotify.com/track/40DPq3Vb5fy5aFUzmYBBHZ,,Mandar Blubay
St Eustache,Mandar,"I Don't Sync So, Pt. 2",468906,https://open.spotify.com/track/1F1xZATe7FdDUL8iLG34Ho,,Mandar St Eustache
I Am Done,ASPEL KiRiK ALIA PALANT,From The Past To The Future,556800,https://open.spotify.com/track/6ysXv4LTEImpxSxEXkg7uo,,ASPEL KiRiK ALIA PALANT I Am Done
Paraglider,Dan Goul,Paraglider,480937,https://open.spotify.com/track/3SWrKAeiYcHwHlV1UCJUUZ,,Dan Goul Paraglider
Beatz In Peacez 02,Peace Division,Beatz In Peacez 02,421613,https://open.spotify.com/track/48rR0JAKpaRA2XzlESOp2l,,Peace Division Beatz In Peacez 02
Magnetized,SIT Cristi Cons Vlad Caia,Magnetized,400720,https://open.spotify.com/track/2kyICsGtU4jXLZyhbgwXu5,,SIT Cristi Cons Vlad Caia Magnetized
Closer,Malini Mikhu Lorik,Closer to Distance,503232,https://open.spotify.com/track/17t97eG3rOrfJbiDXoybXS,,Malini Mikhu Lorik Closer
With U,Mehlor,With U EP & Niko Maxen Remix,397487,https://open.spotify.com/track/2zrF3r80WEj5wm08QkCabv,,Mehlor With U
That Thing - Original Mix,Boncalo Denis,Best Of: 100 Tracks of Last 100 Releases,491812,https://open.spotify.com/track/5hp6dDASmToy5CRlsESWdg,,Boncalo Denis That Thing - Original Mix
Think Outside the Box,Martinesque,Think Outside the Box,509241,https://open.spotify.com/track/0Ozd3A52VoW9tSLB3lok2u,,Martinesque Think Outside the Box
Heart Bomber,Doubtingthomas,"Afterhours Addicted, Vol. 08",502000,https://open.spotify.com/track/5yoKtOM6kj8idpjX1LQV07,,Doubtingthomas Heart Bomber
Anatrack,Cristi Cons,Basorelief,626000,https://open.spotify.com/track/0NOKGmUDqE7TCWnsHtxFDj,,Cristi Cons Anatrack
Of My Body - iO Mulen 99 Mix,JCB iO (Mulen),"Sense of House, Vol. 11",479255,https://open.spotify.com/track/0ILOnafVcqBwhEaKu6dO92,,JCB iO (Mulen) Of My Body - iO Mulen 99 Mix
Hmmm,Levi Verspeek,Lomdit EP,409712,https://open.spotify.com/track/2XywIMQPJsN8xoU1EUIw7f,,Levi Verspeek Hmmm
Oye Oye,Loht Vostok,Loht Vostok Kaleo,405624,https://open.spotify.com/track/1Gnv9dO4qMaiADqmhGU7bM,,Loht Vostok Oye Oye
Miles Of Universe,Petrutt,VA: Roman Tisme Session One,620000,https://open.spotify.com/track/7g97XVKFEy2QjegHHvJFPc,,Petrutt Miles Of Universe
Bloom,Malin Genie,Mandar All Day 001,274283,https://open.spotify.com/track/0c3g4sSHOzoGi8DTpCpEDU,,Malin Genie Bloom
Luzern by Night,David Jach F.eht,Space Camp,390060,https://open.spotify.com/track/1aAyxL3KvCeK3XZtQzMU6B,,David Jach F.eht Luzern by Night
Piton,DiSKOP,Disk 02,439488,https://open.spotify.com/track/5oApTR4tJc8qqKi5GwoQ5t,,DiSKOP Piton
Lip Service,Archie Hamilton Noha,Nohamilton EP,397118,https://open.spotify.com/track/7tmKzFFiHXFLzwuabUsCyp,,Archie Hamilton Noha Lip Service
Nothing Personal,Silat Beksi,Mate,449516,https://open.spotify.com/track/7ocKAmvP14dzFh7iwSIDDk,,Silat Beksi Nothing Personal
Mixed Up Moods,Steve Bug,Sensual,416853,https://open.spotify.com/track/0uqSVKJZ5L3am2N4NGVsm8,,Steve Bug Mixed Up Moods
Paradox,Techu,Paradox,438095,https://open.spotify.com/track/2BrAQ8ZyHrCSw2V3e9rIKu,,Techu Paradox
Sitios,Tredbleu,Dayfly,446875,https://open.spotify.com/track/37qHdJC8ShQlkMvMQ2tDOd,,Tredbleu Sitios
Logica,Terence :Terry:,VA Pt1,430476,https://open.spotify.com/track/4RJFFiybFRuNJy9gjaG1Em,,Terence :Terry: Logica
Operation - Unreleased Mix,Priku Traumer,"""Assembling Pieces"" LP : Digital Bonuses",416639,https://open.spotify.com/track/7yt3E7G9oBTEwY92NcHbeK,,Priku Traumer Operation - Unreleased Mix
Pe Tren,Epau Nu Zau Sepp,Pe Tren,491520,https://open.spotify.com/track/39n0BeHRV3FnGBtsjyMdio,,Epau Nu Zau Sepp Pe Tren
Smooth & Staccato,Konrad Dycke,Smooth & Staccato,427304,https://open.spotify.com/track/0jPoa4WTQbsjk7F1QbvaiM,,Konrad Dycke Smooth & Staccato
